baseline6 2934408
WIN 1155.0 845.0
WIN 1850.0 150.0
WIN 1343.1018518518522 654.7314814814815
WIN 1612.0 385.37131642512065
WIN 1048.0 948.75
WIN 1508.2800834431268 491.28008344312684
LOSE 709.0579202349583 1288.1829202349581
LOSE 835.7407407407406 1163.7407407407406
LOSE 482.78720397249833 1516.453870639165
WIN 1990.0 10.0
WIN 1107.5 892.5
LOSE 0.0 1999.1666666666665
WIN 1497.0045612793738 502.0045612793739
WIN 1151.0107994842037 848.8405329894691
LOSE 0.0 1996.6907535110588
WIN 1211.5 787.3333333333331
LOSE 1.0 1998.0
LOSE 688.6666666666667 1309.3333333333333
LOSE 795.0 1205.0
LOSE 0.0 1998.4999999999998
baseline6 2934409
LOSE 0.0 1999.5
WIN 1945.0 55.0
LOSE 364.35893003423064 1634.3589300342308
LOSE 0.0 1999.0
LOSE 866.851851851852 1132.8518518518517
WIN 1319.611111111111 678.3888888888889
LOSE 789.4767003989946 1210.4767003989946
WIN 1155.0 845.0
WIN 1121.3333333333335 878.3333333333334
LOSE 467.516081465453 1528.2035814654519
LOSE 0.0 1999.0
WIN 1155.0 845.0
WIN 1108.25 889.7333333333333
LOSE 0.0 1997.9999999999998
WIN 1158.3333333333333 839.3333333333334
WIN 1135.876008182434 861.1676748491008
WIN 1179.083333333333 820.4166666666665
LOSE 0.0 2000.0
WIN 1149.3333333333335 849.6666666666666
LOSE 0.0 1996.9421875
baseline6 2934411
LOSE 762.78125 1235.46875
WIN 1154.3333333333333 844.6666666666666
WIN 1863.0 134.5625
LOSE 847.9166666666666 1151.9166666666667
LOSE 0.0 2000.0
LOSE 0.0 1998.7605752249606
LOSE 0.0 1998.5666666666668
WIN 1147.6666666666667 851.6666666666666
WIN 1098.0 899.4666666666666
LOSE 810.0 1190.0
LOSE 0.0 1999.0
WIN 1165.0 835.0
WIN 1145.0 855.0
LOSE 0.0 1993.8437499999998
WIN 1182.6666666666667 816.6666666666666
LOSE 948.3540895061722 1048.9347993827155
WIN 1134.1666666666667 864.8333333333333
WIN 1125.0 875.0
WIN 1182.6666666666665 816.6666666666666
LOSE 0.0 2000.0
baseline6 2934413
WIN 1821.0 176.99999999999977
WIN 1582.7486824769435 416.7486824769434
WIN 1094.125 904.375
LOSE 845.3333333333333 1153.6666666666667
WIN 1290.9093525448752 708.9093525448752
WIN 1144.3333333333333 854.6666666666669
WIN 1392.5 607.5
WIN 1301.1249999999995 696.2916666666665
WIN 1528.7431671011689 470.8287780674459
WIN 1239.75 759.25
WIN 1129.111111111111 869.2222222222222
LOSE 0.0 2000.0
LOSE 0.0 2000.0
WIN 1144.25 854.75
LOSE 0.0 2000.0
WIN 1850.0 149.25
WIN 1109.1666666666667 889.8333333333333
WIN 1499.2638888888891 498.986111111111
WIN 1127.3333333333335 872.3333333333334
WIN 1197.5 802.5
