baseline5 2934400
LOSE 855.0 1145.0
LOSE 938.6092444511472 1058.9441777787351
LOSE 0.0 1998.75
LOSE 9.0 1990
WIN 1077.5 922.5
WIN 1089.4541040813228 908.8792292520105
WIN 1086.25 912.5
WIN 1417.5 582.5
LOSE 0.0 1995.796875
LOSE 17.0 1978.0
WIN 1085.0 915.0
WIN 1115.0 885.0
LOSE 0.0 1998.6499013806706
WIN 1051.0 946.3834249501069
WIN 1107.7497155211645 889.5002275830683
WIN 1114.0 885.0
WIN 1996.0 0.0
WIN 1119.25 880.0
LOSE 13.0 1986.0
LOSE 0.0 1998.2499999999998
baseline5 2934402
WIN 1060.700728265817 936.5985434683664
WIN 1104.0000000000002 895.0
WIN 1997.0 0.0
WIN 1105.625 892.5
LOSE 994.7916666666667 1002.6666666666665
WIN 1997.0 0.0
LOSE 0.0 2000.0
WIN 1107.5 892.5
WIN 1125.0 875.0
WIN 1122.5 877.5
WIN 1041.0 957.5
WIN 1074.5 925.0
WIN 1158.25 839.75
WIN 1999.0 0.0
WIN 1926.0 73.00000000000023
LOSE 16.0 1980.0
LOSE 0.0 1997.6875
WIN 1090.0 909.0
WIN 1989.0 10.5
LOSE 0.0 1997.75
baseline5 2934403
WIN 1110.0 890.0
WIN 1132.5 867.5
WIN 1053.7499999999998 945.0
WIN 1961.0 37.0
WIN 1967.0 31.125
WIN 1075.0 925.0
WIN 1079.25 920
WIN 1106.9166666666665 890.9166666666666
LOSE 0.0 1995.583756258535
WIN 1092.1666666666665 906.6666666666666
LOSE 859.25 1139.75
LOSE 0.0 2000.0
WIN 1998.0 0.0
WIN 1997.0 0.0
WIN 1112.3125 885.0
LOSE 40.0 1960.0
WIN 1063.3333333333335 935.0
LOSE 995.7499999999998 1002.0833333333333
LOSE 13.0 1985.0
LOSE 7.0 1988.0
baseline5 2934406
WIN 1135.0 865.0
WIN 1045.0 955
LOSE 837.875 1160.125
WIN 1125.0 875.0
WIN 1993.0 3.1953125
LOSE 17.0 1980.0
WIN 1089.5 909.5375512061908
LOSE 11.0 1987.0
WIN 1084.1666666666665 914.7662721893496
WIN 2000.0 0.0
WIN 1124.25 874.75
WIN 1068.9061504324068 929.3108500227582
LOSE 0.0 1999.0
WIN 1049.0 950.0
WIN 1995.0 0.0
LOSE 0.0 1998.25
WIN 1129.25 869.75
WIN 1088.875 910
LOSE 735.5138825671372 1263.5138825671372
LOSE 828.4881552750459 1169.6327843146469

