baseline7 2934418
WIN 1997.75 0.0
WIN 1942.0 56.0
LOSE 7.75 1988.0
WIN 1997.9166666666665 0.0
WIN 999.2499999999995 999.0
LOSE 0.0 1998.0
LOSE 0.0 2000.0
LOSE 100.0 1900
LOSE 140.0 1860.0
WIN 1996.333333333333 0.0
LOSE 21.5 1978.0
LOSE 0.0 2000
LOSE 0.0 1999.0
LOSE 11.0 1988.0
LOSE 89.25 1910.0
WIN 1960.0 40.0
WIN 1999.3333333333335 0.0
WIN 1998.25 0.0
WIN 1880.0 120.0
WIN 2000.0 0.0
baseline7 2934420
LOSE 49.0 1950.0
WIN 999.375 999.0
WIN 1999.0 0.0
LOSE 20.0 1978.0
LOSE 32.0 1966.0
WIN 1999.5 0.0
LOSE 0.0 2000.0
WIN 1997.84375 0.0
LOSE 61.666666666666515 1936.0
WIN 2000.0 0
WIN 1945.0 52.0
WIN 1996.75 0.0
WIN 1975.0 24.0
LOSE 20.0 1980.0
WIN 1937.0 60.00000000000023
WIN 1998.5 0.0
WIN 2000.0 0
WIN 2000.0 0.0
LOSE 24.72916666666697 1972.0
LOSE 144.5 1855.0
baseline7 2934423
LOSE 0.0 2000.0
LOSE 49.333333333333485 1950.0
LOSE 22.734375 1975.0
WIN 1094.5 904.5
LOSE 0.0 1997.0
LOSE 176.33333333333337 1823.0
LOSE 129.25 1870
WIN 1998.0 0.0
WIN 1999.25 0.0
LOSE 0.0 1996.0
LOSE 199.5 1800
WIN 1997.71875 0
WIN 1999.5 0.0
WIN 2000.0 0.0
LOSE 270.0 1730.0
LOSE 0.0 1998.1250000000002
WIN 1999.3333333333335 0.0
LOSE 7.91666666666697 1990.0
LOSE 0.0 2000.0
WIN 1997.5 0.0
baseline7 2934424
LOSE 0.0 2000.0
WIN 1996.0 0.0
WIN 1940.0 56.0
LOSE 90.0 1908.0
LOSE 0.0 2000.0
LOSE 0.0 1997.125
WIN 999.5 999.0
WIN 1997.4999999999998 0.0
LOSE 98.5 1901.0
WIN 2000.0 0.0
WIN 2000.0 0
WIN 1999.5 0.0
WIN 1998.5 0.0
WIN 1998.0 0
WIN 1089.25 908.5
LOSE 96.33333333333337 1903.0
WIN 1093.375 904.125
WIN 1956.0 39.0
WIN 1999.3333333333335 0.0
LOSE 0.0 1997.0

