baseline6 2355480
LOSE 0.0 1998.2499999999998
LOSE 0.0 2000.0
LOSE 0.0 1999.0
WIN 1382.0 617.0392397611639
WIN 1113.6527777777776 884.0694444444446
WIN 1137.0208333333326 860.145833333333
WIN 1112.6666666666665 886.6666666666667
WIN 1162.6666666666665 836.6666666666667
WIN 1204.125 794.625
LOSE 855.0 1145.0
LOSE 640.0 1360.0
LOSE 725.9999999999999 1273.3333333333333
WIN 1800.0 200.0
LOSE 0.0 1999.0000000000002
LOSE 409.4111570247934 1590.4111570247933
WIN 1970.0 30.0
WIN 1806.1877274128892 192.68772741288933
WIN 1175.0 825.0
WIN 1134.3333333333333 864.3333333333333
WIN 1420.7826576169396 578.7826576169396
baseline6 2355494
WIN 1155.0 845.0
WIN 1066.6666666666665 931.0763888888889
WIN 1125.0 875.0
LOSE 19.0 1973.0
WIN 1093.675 904.325
WIN 1129.25 869.75
WIN 1092.5 905.7499999999998
WIN 1143.185570987654 850.6439043209874
LOSE 649.0664318971168 1347.8164318971174
WIN 1151.0 848.2200673608321
LOSE 0.0 2000.0
LOSE 502.08333333333337 1496.1018518518517
WIN 1780.0 219.99999999999994
LOSE 720.0 1280.0
LOSE 0.0 2000.0
LOSE 0.0 2000.0
WIN 1124.0388888888888 874.5388888888888
WIN 1145.0 855.0
WIN 1175.0 824.9999999999999
WIN 1155.0 845.0
baseline6 2355509
LOSE 0.0 1996.2187500000007
LOSE 369.4800509138564 1629.2300509138563
WIN 1297.5 702.5
WIN 1145.0 855.0
LOSE 0.0 1999.4444444444448
WIN 1111.5 886.6111111111111
LOSE 0.0 1998.2222222222224
WIN 1129.25 869.75
LOSE 0.0 1996.8750000000002
WIN 1215.9261486278137 783.9261486278139
WIN 1511.1688405797101 487.66884057971015
WIN 1113.0 883.9166666666666
WIN 1395.0847606499779 604.084760649978
LOSE 0.0 1998.0833333333342
LOSE 96.9656883357161 1902.965688335716
WIN 1284.1002952746708 714.6002952746708
LOSE 19.0 1972.0
WIN 1907.0 92.0000000000025
LOSE 0.0 1998.833333333333
WIN 1124.5 874.62
baseline6 2355522
LOSE 0.0 1998.25
WIN 1129.4 870.4000000000001
WIN 1192.5 807.5
WIN 1142.5 857.5
LOSE 821.25 1177.5833333333335
WIN 1232.6666666666665 766.6666666666666
WIN 1155.0 845.0
WIN 1077.6759259259265 919.175925925926
WIN 1187.9653355946139 810.2153355946141
WIN 1192.4166666666665 807.0833333333333
WIN 1137.1666666666665 862.1666666666667
LOSE 0.0 1996.466666666667
WIN 1163.25 836.25
LOSE 0.0 2000.0
LOSE 0.0 1998.6200000000001
WIN 1129.2037037037035 870.2037037037035
LOSE 0.0 1999.5
WIN 1140.0 860.0
LOSE 64.0 1935.0
WIN 1091.5 906.8333333333334

