baseline7 2355535
WIN 1987.0 11.5
WIN 1981.0 16.09375000000034
LOSE 0.0 2000.0
LOSE 0.0 1998.0
LOSE 0.0 2000.0
WIN 2000.0 0
WIN 1064.5 934.5
LOSE 0.0 1998.375
LOSE 1.5 1997.0
WIN 1999.5 0.0
WIN 2000.0 0
WIN 1990.0 10.0
WIN 1992.0 3.0
WIN 1999.0 0.0
WIN 2000.0 0.0
LOSE 0.0 2000.0
WIN 1956.0 42.0
LOSE 0.0 2000.0
LOSE 0.0 2000.0
WIN 2000.0 0.0
baseline7 2355551
WIN 1999.0 0
LOSE 12.0 1984.0
LOSE 8.5 1990.0
WIN 2000.0 0.0
WIN 2000.0 0
WIN 1998.0 0.0
LOSE 202.70000000000005 1796.0
WIN 1997.0 0.0
LOSE 0.0 1996.65625
WIN 1862.0 138.0
WIN 2000.0 0.0
LOSE 59.0 1938.0
WIN 1992.0 5.0
WIN 1998.0 0
WIN 1991.0 6.0
WIN 1999.0 0.0
WIN 1916.0 83.0
WIN 1998.25 0.0
LOSE 0.0 1996.7499999999995
LOSE 0.0 1998.0
baseline7 2355589
LOSE 0.0 1997.0
WIN 1999.5 0.0
LOSE 269.5 1729.0
WIN 1104.0 894.5
WIN 1999.5 0.0
WIN 2000.0 0.0
WIN 2000.0 0
LOSE 0.0 2000.0
WIN 1999.0 0.0
WIN 1999.3333333333335 0.0
WIN 999.3333333333333 999.0
WIN 1997.875 0.0
WIN 2000.0 0
WIN 2000.0 0
WIN 999.25 999.0
LOSE 0.0 2000.0
WIN 1998.875 0.0
LOSE 13.333333333333485 1985.0
LOSE 0.0 2000.0
WIN 1935.0 65.0
baseline7 2355622
LOSE 127.0 1872.0
WIN 1999.6666666666665 0.0
LOSE 20.0 1980
WIN 2000.0 0.0
WIN 2000.0 0.0
WIN 1944.0 56.0
LOSE 0.0 1998.5
LOSE 56.0 1944.0
WIN 1998.75 0.0
WIN 1999.5 0
LOSE 995.0 1005.0
WIN 1999.25 0.0
LOSE 718.25 1280.75
WIN 1997.15625 0.0
LOSE 14.0 1984.0
LOSE 0.0 2000.0
LOSE 69.5 1930
LOSE 0.0 2000.0
WIN 1977.0 21.0
LOSE 59.375000000000455 1938.0
